patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn1,pnn2,pnn3,pnn4,pnn5,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SampEn,ApEn,PFD,DFA,sh_entropy,multi_entropy,sample_entropy,approx_entropy,absolute_delta_power,relative_delta_power,absolute_theta_power,relative_theta_power,absolute_alpha_power,relative_alpha_power,absolute_belta_power,relative_belta_power,amplitude_mean,amplitude_median,amplitude_rms,amplitude_std,amplitude_max,low_power,med_power,high_power,low_rel_power,mid_rel_power,high_rel_power,dominant_frequency,duration,label
20105_Baseline,0,200,451.40116,457.5,470.0,1693.3847,-0.6686587,5.2184245,35.0,41.150756,24.732838,0.85081585,0.85081585,0.55011655,0.55011655,0.45221445,430,0.9648689,5,476.44447,2161.9499,1012.1774,232.49293,4.35,3883.0647,5,-3.4430473,4.0352349,0.5302871,0.50329003,1.909271976697701,0.291499000702484,5.307206578542528,"[array([1.90477293]), array([1.80397927]), array([1.63343788]), array([1.25637297]), array([1.34371823]), array([1.49410202]), array([1.57957857]), array([1.59505353]), array([1.57521484])]",2.013405409545166,2.156991454680768,0.1227523497329884,0.0890703908953923,0.0977998540134907,0.0709645986039558,0.126191672373544,0.0915659994330375,0.1898972109592354,0.1377914055973329,12.02405246117667,7.10926145384378,19.1499417640096,14.90444336350172,199.6441936944836,3.130337606117434,7.040948986551808,3.421214990596887,0.0221239638242598,0.0497625880232573,0.0241797678752167,99.19,0.0049999999999954,-1
20105_Baseline,15,215,452.61655,460.0,470.0,1715.9619,-0.73722408,5.178456,32.5,41.42417,24.647337,0.8271028,0.8271028,0.53271028,0.53271028,0.43224299,429,0.96482445,5,602.75733,2117.7473,1037.3338,229.76717,4.51,3987.6056,5,-3.2211538,3.7166667,0.42510189,0.4069473,1.906670828826666,0.300693286454302,5.580231168176416,"[array([1.90699706]), array([1.80317812]), array([1.63609807]), array([1.26002804]), array([1.35043911]), array([1.50286194]), array([1.58059794]), array([1.61137291]), array([1.59159515])]",2.01738680695828,2.159670254712645,0.1450782365985511,0.105335769252015,0.1028636491611514,0.0746853688499235,0.1310849739667582,0.0951757954459913,0.1803351515181783,0.1309344692471656,12.01073633430859,7.052382851554441,19.0600713728282,14.79961261131604,199.6441936944836,3.101746067347732,6.97885777271193,3.368710247203753,0.0221559786533409,0.0498504456778839,0.0240629215628082,99.19,0.0049999999999954,-1
20105_UCO_segment,0,200,670.052301,622.5,585.0,41689.2567,1.45031802,6.23362567,138.75,204.179472,200.837924,0.907563025,0.907563025,0.74789916,0.74789916,0.68907563,239,0.8353406962945243,5,1588.39586,17871.652,14203.4489,7226.21347,1.97,40889.7102,5,-9.27631579,3.48333333,0.263537249,0.251712237,1.973958946944121,0.3189040524321589,4.005442777820403,"[array([1.67483934]), array([1.15122172]), array([0.9812385]), array([0.63405963]), array([0.51695097]), array([0.50665985]), array([0.50891191]), array([0.44125778]), array([0.37964447])]",1.751979287334913,2.038297208088527,0.0572837578542915,0.0952613277710656,0.0611089613655381,0.1016225369361972,0.0224166009744449,0.0372781963496797,0.0162124583097717,0.026960876221674,2.170543702388117,0.4105029775636562,9.252852228709193,8.99466588608782,393.4920184650549,0.9786571336300224,1.74792818275812,0.5146802908017661,0.028200814682207,0.0503679961713778,0.0148309382343624,36.595,0.005500000000012,0
20105_UCO_segment,15,215,675.178571,615.0,585.0,39556.9564,1.56414165,6.71345066,110.0,198.889307,200.467478,0.898734177,0.898734177,0.755274262,0.755274262,0.687763713,238,0.9377069047339576,5,220.596862,16273.3807,12613.7471,7144.19666,1.77,36251.9213,5,-17.5240385,7.65398551,0.241961067,0.234391664,1.982682793924214,0.3354379027049694,3.903626408108251,"[array([1.70143268]), array([1.18138302]), array([1.01506954]), array([0.66457635]), array([0.54496258]), array([0.53750875]), array([0.52839245]), array([0.46857809]), array([0.39819046])]",1.765261865359439,2.023260733167867,0.0494685478037357,0.0885714639981893,0.0520425099603091,0.0931800406919734,0.0209546975642372,0.0375185511462219,0.0137395546652987,0.0246001252395115,2.235980950878694,0.4174818618720899,9.400320890767029,9.130521454807422,393.4920184650549,1.019829685830218,1.808113803098718,0.5312381375598135,0.0283668886153979,0.0502932632469024,0.0147765585624651,26.23,0.0059999999999966,0
20105_Post_UCO,0,200,269.72261,255.0,222.5,2482.3535,1.731966,7.7053557,77.5,49.823223,44.501678,0.53611111,0.53611111,0.076388889,0.076388889,0.0625,721,0.74557227,5,2755.0133,2554.6311,554.86485,651.95323,0.85,6516.4625,5,-0.68402778,0.53693182,0.10512917,0.10375224,2.017056922827313,0.1921432515898205,5.614878149428814,"[array([1.93273086]), array([1.41165323]), array([1.23050852]), array([0.83865653]), array([0.69398851]), array([0.68655245]), array([0.67852718]), array([0.58744867]), array([0.51900782])]",1.986941163848404,2.121606586074798,0.0010493162889052,0.0042131633534828,0.0009144084093744,0.0036714878452069,0.000919819272786,0.0036932132788795,0.0037505829572816,0.0150591569357059,0.7888934309316706,0.4865229280110422,1.256201529645145,0.9775936976656808,8.796433470856014,0.0332123989887277,0.025353942619928,0.0044879567744294,0.0427053848172989,0.0326007728796473,0.0057707340310003,31.695,0.007000000000005,1
20105_Post_UCO,15,215,262.24359,245.0,222.5,2147.1301,1.8565592,8.2588666,70.625,46.337135,46.773877,0.52972973,0.52972973,0.068918919,0.068918919,0.051351351,741,0.75411764,5,2228.4815,2235.993,253.72145,626.24549,0.41,5344.4414,5,-0.99931319,0.80113636,0.10225871,0.10120631,2.016893347543854,0.1875041064306168,5.62858920125651,"[array([1.93169279]), array([1.41192271]), array([1.22872432]), array([0.8355958]), array([0.68426566]), array([0.6719056]), array([0.66916769]), array([0.5734792]), array([0.49630639])]",1.986388150459732,2.120749460648454,0.0013212018652786,0.0051478157099992,0.001157246491434,0.004508994291867,0.0010046167275908,0.0039143009927022,0.0038345189113079,0.0149404850316017,0.8033536477396237,0.4949119004937663,1.278477136863577,0.9945484936122176,8.796433470856014,0.0347878129630473,0.0261695685396458,0.0045371626949267,0.0430294076278119,0.0323694114755796,0.0056120637213119,31.615,0.007000000000005,1
