patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn1,pnn2,pnn3,pnn4,pnn5,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SampEn,ApEn,PFD,DFA,sh_entropy,multi_entropy,sample_entropy,approx_entropy,absolute_delta_power,relative_delta_power,absolute_theta_power,relative_theta_power,absolute_alpha_power,relative_alpha_power,absolute_belta_power,relative_belta_power,amplitude_mean,amplitude_median,amplitude_rms,amplitude_std,amplitude_max,low_power,med_power,high_power,low_rel_power,mid_rel_power,high_rel_power,dominant_frequency,duration,label
21200_Baseline,0,200,311.95341,310.0,312.5,90.589387,0.92772489,7.185278,10.0,9.5178457,5.8279876,0.68402154,0.68402154,0.26032316,0.26032316,0.1454219,558,0.79406309,5,0.86234639,107.88406,114.20127,30.268268,3.77,253.21594,5,-1.0354478,1.2429775,1.3628078,1.137747,1.916805688888077,0.2885063454834766,5.043655363667676,"[array([1.90418442]), array([1.77871388]), array([1.60880245]), array([1.22287325]), array([1.29753958]), array([1.43836016]), array([1.52541399]), array([1.54756068]), array([1.53121317])]",2.005894039534439,2.159432138017167,0.0983469294738298,0.0810691257490865,0.0643928457837779,0.0530801697634672,0.1054353638903686,0.086912248499873,0.1694888172756609,0.1397126510639136,1.444040971868083,0.551334295091455,5.7236477970833,5.538491651760684,354.7970711601762,0.364418974946433,0.5677555951500489,0.2292992562339763,0.0276728624924612,0.043113623587307,0.0174122842761389,31.315,0.0060000000000002,-1
21200_Baseline,15,215,312.29705,312.5,312.5,91.594594,0.86022718,7.0896059,10.0,9.5705065,5.1479946,0.69500924,0.69500924,0.25878004,0.25878004,0.14602588,542,0.81003842,5,0.21520151,104.98695,119.94796,30.440218,3.94,255.59033,5,-0.94907407,1.2792398,1.3756727,1.1392731,1.916872447083884,0.292612597567127,3.152642923195501,"[array([1.89808057]), array([1.77049313]), array([1.59958215]), array([1.21446117]), array([1.28902747]), array([1.42999169]), array([1.51310302]), array([1.53843167]), array([1.52170912])]",1.998274857573786,2.152049101622183,0.0914047962991973,0.0765501743457356,0.0622184174134482,0.0521070107188351,0.1024702015613212,0.0858172887239473,0.169630648947642,0.1420631769564625,1.456712066165663,0.5610028795211166,5.733869431482003,5.545741484560122,354.7970711601762,0.3649896895399951,0.5689894217483298,0.2299852011252517,0.0276587970692315,0.043117828809112,0.0174282019167905,31.315,0.0060000000000002,-1
21200_UCO_segment,0,200,541.133721,486.25,512.5,59385.2999,1.04537662,3.40161787,307.5,243.690993,208.060336,0.927113703,0.927113703,0.790087464,0.790087464,0.740524781,344,0.736514106,5,1224.77478,53868.8557,12391.1705,6996.82489,1.77,74481.6259,5,-2.69642857,1.62790698,0.35639826,0.335373864,1.936126839025749,0.4299850230996757,3.28255523716772,"[array([1.50572479]), array([1.01814651]), array([0.86440133]), array([0.56936546]), array([0.46472474]), array([0.4828237]), array([0.50174918]), array([0.47418987]), array([0.43745639])]",1.566462127916995,1.845274795278625,0.3760476707218601,0.4447665218588551,0.1224589017331249,0.1448370088024884,0.0284961899066717,0.0337035760564359,0.0229599735643278,0.0271556730150056,2.671416641821099,0.5018883435691629,10.17342347849664,9.816418817401177,314.1179184278038,0.7257963448117999,1.903017372833062,0.93544679105651,0.0194007201581908,0.0508681364551142,0.0250047296957259,45.0,0.0045000000000072,0
21200_UCO_segment,15,215,558.292683,512.5,512.5,60152.8101,0.88397258,3.21934009,330.0,245.260698,232.181558,0.932721713,0.932721713,0.825688073,0.825688073,0.788990826,328,0.73579614,5,1692.94606,41420.0926,13473.6743,9808.82624,1.37,66395.5392,5,-2.54310345,0.105769231,0.382744094,0.355288894,1.940237844560803,0.4392804747048397,3.187290312658023,"[array([1.50956058]), array([1.02045443]), array([0.87082965]), array([0.57110795]), array([0.47004271]), array([0.48636746]), array([0.49705685]), array([0.47340117]), array([0.43424932])]",1.560891214245777,1.816882174379244,0.5264267476574362,0.5234379536687973,0.1497166983471701,0.1488666800492586,0.0346235922520794,0.0344270164039702,0.0174148926089839,0.0173160193534471,2.383567103279195,0.4580675890914345,10.47452152869492,10.19971612934687,330.4378648452389,0.7536354768894827,1.963431814234131,1.005219166597021,0.0192884273736754,0.0502517637682449,0.0257274205953769,49.47,0.0044999999999788,0
21200_Post_UCO,0,200,240.62968,222.5,210.0,3140.349,5.3476192,41.914958,45.0,56.038817,39.228376,0.5505618,0.5505618,0.13358302,0.13358302,0.10861423,802,0.912976515266947,5,2101.5399,2387.8663,1191.5321,645.61765,1.85,6326.5559,5,-0.92005076,0.041182171,0.061932642,0.061628377,2.000038463103183,0.2291856053880434,5.322372922179483,"[array([2.05789344]), array([1.658146]), array([1.47966458]), array([1.08157906]), array([1.0166414]), array([1.05346461]), array([1.07055733]), array([1.0506757]), array([1.00315738])]",2.058563558364494,2.187459023594133,0.0021183929526337,0.0087957114281391,0.002089135378507,0.0086742319930861,0.0035682100313182,0.0148154504155835,0.0180169422590103,0.0748075680343801,0.6304567730342371,0.4393550255080051,0.9182842504600186,0.6676602593970787,9.409038909895871,0.0150809645200716,0.0116642727728606,0.0046188292320106,0.040117262932017,0.0310284330366819,0.0122866668436254,33.34,0.007000000000005,1
21200_Post_UCO,15,215,232.98854,217.5,210.0,1295.1415,3.3883518,19.022352,37.5,35.988074,40.429084,0.51570048,0.51570048,0.094202899,0.094202899,0.076086957,829,0.9512690745472961,5,962.62964,1125.0167,156.92438,523.75228,0.3,2768.323,5,-0.95222513,0.2480916,0.085768003,0.085371646,2.000225678004142,0.2386580927273564,5.325251578400072,"[array([2.05764804]), array([1.66094714]), array([1.47977651]), array([1.08184795]), array([1.02098191]), array([1.05455102]), array([1.06669447]), array([1.05063925]), array([0.98460998])]",2.058660082979471,2.188300988429834,0.0027221548126364,0.011179782947661,0.0022033400706878,0.0090490311703901,0.0032651242029398,0.0134097369174492,0.0183377963045641,0.0753126095076473,0.6412772256734655,0.4449465745271821,0.9352365103665524,0.6807575560764271,9.409038909895871,0.0159525889151022,0.0121859720950393,0.0046418697413379,0.0405770607419401,0.0309962810758499,0.0118070760459531,33.34,0.007000000000005,1
