patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn1,pnn2,pnn3,pnn4,pnn5,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SampEn,ApEn,PFD,DFA,sh_entropy,multi_entropy,sample_entropy,approx_entropy,absolute_delta_power,relative_delta_power,absolute_theta_power,relative_theta_power,absolute_alpha_power,relative_alpha_power,absolute_belta_power,relative_belta_power,amplitude_mean,amplitude_median,amplitude_rms,amplitude_std,amplitude_max,low_power,med_power,high_power,low_rel_power,mid_rel_power,high_rel_power,dominant_frequency,duration,label
21122_Baseline,0,200,344.05203,342.5,342.5,222.78572,-0.63761946,6.7811266,25.0,14.926008,8.2179885,0.62190813,0.62190813,0.17844523,0.17844523,0.10954064,567,0.64379066,5,9.6146852,354.7426,193.1021,22.231334,8.69,579.69072,5,-1.2134503,1.1393229,1.2701568,0.98897809,1.731356554139742,0.2315844443857929,5.371721418191475,"[array([1.34050562]), array([1.75152354]), array([1.58333917]), array([1.26385613]), array([1.46372047]), array([1.68634278]), array([1.81689359]), array([1.86864245]), array([1.84765752])]",1.61661368977412,1.76533946401799,0.0794406670792264,0.099453231251276,0.0811468128382486,0.1015891864862843,0.1683102876077512,0.2107107426317128,0.2376035691109711,0.2974602753694809,14.13230196515064,7.515282711332079,23.15520405372371,18.34234216056887,429.5737711453131,5.11712881728573,9.53593684622631,8.187071892978881,0.0208971299383394,0.0389424848337295,0.0334340430485499,148.58,0.0060000000000002,-1
21122_Baseline,15,215,344.95141,342.5,342.5,246.46887,-0.56145555,5.9161954,25.0,15.699327,8.2507709,0.61238938,0.61238938,0.1840708,0.1840708,0.11681416,566,0.64554422,5,38.281022,413.28596,179.35727,20.531044,8.74,651.45529,5,-1.2228261,1.1391129,1.192199,0.93943396,1.731554750676415,0.2338524671101202,5.368897370467716,"[array([1.34321645]), array([1.75312408]), array([1.58600698]), array([1.26731052]), array([1.46865738]), array([1.68957063]), array([1.81071069]), array([1.86733013]), array([1.84714899])]",1.616537734425342,1.765545939189285,0.0906892245926922,0.1120782470312193,0.0856324626696674,0.1058288495473145,0.1709925017827821,0.2113210245359308,0.2310784817951647,0.2855782622748823,15.02649817627466,8.625286446193527,23.70158092323293,18.32946509909587,429.5737711453131,5.477510074645473,10.11877311024226,8.598154911014557,0.0211267951228094,0.0390281794978019,0.0331631443418093,148.58,0.0060000000000002,-1
21122_UCO_segment,0,200,571.607884,585.0,780.0,24592.3779,0.419555522,5.54211133,213.125,156.819571,92.58864,0.8375,0.8375,0.6375,0.6375,0.579166667,241,0.9181996143573479,5,1526.92613,22881.035,11736.7911,10175.0119,1.15,46319.7641,5,-9.09018987,8.42213115,0.155069304,0.148491729,1.665824060614603,0.4747982388645077,3.011094276191724,"[array([0.2465859]), array([0.18173312]), array([0.17865538]), array([0.17958029]), array([0.1928467]), array([0.2099238]), array([0.22561461]), array([0.23679084]), array([0.24941723])]",0.3580982525093696,0.7649832496602107,1.047072762836716,0.7169501886783489,0.2701712829746586,0.1849913006803704,0.0572040444857389,0.0391686728399894,0.0268134649653546,0.0183596779978786,2.639373840587128,0.2718184933379829,15.20668976849685,14.97588459640802,446.2238021599292,2.177527042862048,4.104766015181171,1.719743388992793,0.0254811198052238,0.0480334032810765,0.0201241989038954,58.03,0.004499999999993,0
21122_UCO_segment,15,215,593.154206,590.0,780.0,25995.1099,0.183505814,5.39883143,227.5,161.229991,98.0432081,0.816901408,0.816901408,0.605633803,0.605633803,0.544600939,214,0.8729873002393512,5,1768.18049,21355.683,14365.3447,12646.7191,1.14,50135.9274,5,-5.15384615,6.52777778,0.140985075,0.135204284,1.645634092268671,0.492171061740484,2.877520179274075,"[array([0.2394724]), array([0.17423856]), array([0.17147989]), array([0.17271827]), array([0.18887181]), array([0.20799321]), array([0.22467093]), array([0.23860994]), array([0.25149009])]",0.3368744948623131,0.6680632859864843,1.525824224159932,0.7599964351467939,0.3298112708655374,0.1642754035230005,0.0658245564962836,0.0327864949908218,0.0228292444817548,0.011370998145465,2.621954933580164,0.2666848754360838,15.20145791178479,14.97363265777676,446.2238021599292,2.1745575330852,4.101550066594139,1.718624077111749,0.0254707420170954,0.0480417381591194,0.0201303620743369,58.03,0.004499999999993,0
21122_Post_UCO,0,200,277.161145,260.0,232.5,4135.3111,2.80218929,11.4790517,52.5,64.3063846,34.5650086,0.621417798,0.621417798,0.153846154,0.153846154,0.0950226244,664,0.9198717977263684,5,3503.22208,5173.71009,657.365891,674.911453,0.97,10009.2095,5,-2.31691919,1.29786036,0.0885851735,0.087760766,1.639822579138693,0.3792073286115665,3.752047179896222,"[array([0.82701249]), array([0.67360551]), array([0.60132931]), array([0.49303109]), array([0.54593345]), array([0.62996501]), array([0.68962505]), array([0.72055628]), array([0.75053683])]",0.980737606994716,1.151450437317632,0.0818732915818433,0.5142309557961348,0.0564957976432285,0.3548396242442653,0.0070917661834539,0.0445420677774355,0.0020689504526764,0.0129946939742996,0.3540476460355466,0.2545998497141247,0.5081103147473797,0.3644535036041902,3.675186936653428,0.0041476146405103,0.0040978527535035,0.0013686279761132,0.0368829969397726,0.0364404853553392,0.0121706344079404,25.865,0.0045000000000001,1
21122_Post_UCO,15,215,264.434438,255.0,232.5,1566.82434,2.47207062,12.0953431,50.0,39.583132,36.0942629,0.614718615,0.614718615,0.126984127,0.126984127,0.0735930736,694,0.9983391577780842,5,1416.35659,1540.47067,376.732926,581.880226,0.65,3915.44041,5,-2.24226804,1.4516129,0.106579195,0.10561622,1.644971531973703,0.3809635192852133,3.749291517955886,"[array([0.83332378]), array([0.68003368]), array([0.60839219]), array([0.49547509]), array([0.54789371]), array([0.63242096]), array([0.69301363]), array([0.72197096]), array([0.74763976])]",0.9888460358472454,1.158418553538976,0.0724138321794562,0.50934225238404,0.0499344774667156,0.3512276378563564,0.0063533069971551,0.0446877012115421,0.0019411152081099,0.013653358239424,0.3578946763578355,0.256797959104957,0.5142486792656501,0.3692737531441758,3.675186936653428,0.0043350973616401,0.0041985517873529,0.0013688604840199,0.0373551055950268,0.0361785058740689,0.0117953355276149,25.865,0.0045000000000072,1
